,Time,Name,Population growth (%),Life expectancy (years)
570,2000-01-01,Zimbabwe,1.1,44.1
571,2000-01-01,Afghanistan,4.4,56.9
572,2000-01-01,Bahamas,2.0,73.2
573,2000-01-01,Australia,1.2,80.3
574,2000-01-01,Albania,-0.3,74.8
575,2000-01-01,Sao Tome and Principe,2.3,63.8
576,2000-01-01,Austria,0.5,78.9
577,2000-01-01,Angola,3.5,50.0
578,2000-01-01,France,0.5,79.4
579,2000-01-01,Argentina,1.1,74.3
580,2000-01-01,Armenia,-0.6,72.4
581,2000-01-01,Australia,1.2,80.3
582,2000-01-01,Algeria,1.3,71.5
583,2000-01-01,Barbados,0.3,73.8
584,2000-01-01,Brunei Darussalam,1.8,75.7
585,2000-01-01,Burkina Faso,2.9,51.6
586,2000-01-01,Costa Rica,1.6,77.8
587,2000-01-01,Croatia,-0.2,74.9
588,2000-01-01,Cuba,0.2,77.2
589,2000-01-01,Afghanistan,4.4,56.9
590,2000-01-01,Cyprus,1.7,78.3
